Thread ID: 214780
Total: 6.709303

 %self     total     self     wait    child    calls  name
  0.07      0.07     0.00     0.00     0.06      100  <Class::ActiveRecord::Base>#reset_table_name
  0.07      0.01     0.00     0.00     0.00      500  HashWithIndifferentAccess#convert_key
  0.07      0.04     0.00     0.00     0.03      100  CGI#initialize_without_stdinput
  0.07      0.02     0.00     0.00     0.01      100  ActionController::SessionManagement::ClassMethods#session_options_for
  0.07      0.52     0.00     0.00     0.52      100  SQLite3::Database#initialize
  0.07      0.01     0.00     0.00     0.00      500  Dependencies#load?
  0.07      0.01     0.00     0.00     0.01      402  Object#returning
  0.07      0.02     0.00     0.00     0.01      200  Hash#each_pair
  0.07      0.00     0.00     0.00     0.00     1600  String#downcase
  0.07      0.01     0.00     0.00     0.00      301  Benchmark::Tms#initialize
  0.07      0.00     0.00     0.00     0.00     1200  NilClass#blank?
  0.07      0.00     0.00     0.00     0.00     2200  Kernel#class
  0.07      0.00     0.00     0.00     0.00      100  <Module::SQLite3::Driver::Native::API>#sqlite3_step
  0.06      0.00     0.00     0.00     0.00     1100  ActionController::Base#request
  0.06      2.23     0.00     0.00     2.22      200  Class#const_missing
  0.06      0.17     0.00     0.00     0.16      100  Array#reverse_each
  0.06      0.62     0.00     0.00     0.61      100  ActionController::Helpers::ClassMethods#default_helper_module!
  0.06      0.07     0.00     0.00     0.06      600  ActiveSupport::BufferedLogger#info
  0.06      0.01     0.00     0.00     0.00      200  ActionController::AbstractResponse#charset
  0.06      0.03     0.00     0.00     0.03      100  ActionController::Filters::InstanceMethods#run_before_filters
  0.06      0.06     0.00     0.00     0.06      600  ActiveSupport::CoreExtensions::String::Inflections#underscore
  0.06      0.04     0.00     0.00     0.03      100  ActionController::Integration::Session#parse_result
  0.06      0.22     0.00     0.00     0.22      100  ActionController::Base#render_for_file
  0.06      0.02     0.00     0.00     0.01      600  ActiveSupport::CoreExtensions::String::Inflections#constantize-1
  0.06      0.17     0.00     0.00     0.17      100  ActionController::MimeResponds::Responder#initialize
  0.06      0.01     0.00     0.00     0.01      300  ActionController::AbstractRequest#method
  0.06      0.01     0.00     0.00     0.00      100  <Class::ActiveRecord::Base>#add_joins!
  0.06      0.06     0.00     0.00     0.06      100  SQLite3::Database#prepare
  0.06      0.01     0.00     0.00     0.01      200  ActionController::MimeResponds::Responder#custom
  0.06      0.13     0.00     0.00     0.13      200  ActionView::Base#render_template
  0.06      0.01     0.00     0.00     0.01      200  <Class::ActiveRecord::Base>#subclasses-1
  0.06      0.01     0.00     0.00     0.00      100  ActiveRecord::ConnectionAdapters::AbstractAdapter#format_log_entry
  0.06      0.01     0.00     0.00     0.01      100  ActionView::Helpers::AssetTagHelper#compute_public_path
  0.06      0.02     0.00     0.00     0.01      100  ActionController::Base#initialize_template_class
  0.06      0.00     0.00     0.00     0.00     1000  <Module::Dependencies>#autoloaded_constants
  0.06      0.00     0.00     0.00     0.00     1900  Symbol#===
  0.06      0.00     0.00     0.00     0.00     1500  Kernel#instance_variable_get
  0.06      0.01     0.00     0.00     0.00      200  ActionController::AbstractResponse#content_type
  0.06      0.01     0.00     0.00     0.00      200  ActionView::Base#template_changed_since?
